Location    Name
----------  ----------------------------------------------------------------------------------
uksouth     ndl
uksouth     zultysinc1596831546163
uksouth     Microsoft.Azure.Extensions.Testf1fc0559-6740-48dd-9501-2b933c731d52-20200103083458
uksouth     Microsoft.SqlServer.Managability.IaaS.Test
uksouth     Microsoft.SqlServer.Management.Test
uksouth     akumo-software
uksouth     ibm-alliance-global-1560886
uksouth     Dh2ico
uksouth     nec-technologies
uksouth     dataart
uksouth     Microsoft.Azure.Monitor.VirtualMachines.Dev.SCALE
uksouth     lnw-softgmbh
uksouth     Microsoft.Windows.RemoteDesktop
uksouth     cask
uksouth     objectivity-inc
uksouth     sqlstream
uksouth     MicrosoftBizTalkServer
uksouth     Microsoft.Compute.Test
uksouth     Microsoft.Azure.FleetDiagnostics
uksouth     nozominetworks1582208017986
uksouth     ubilityai1599391188425
uksouth     newtglobalconsultingllc1581492268566
uksouth     cloud-infrastructure-services
uksouth     intersystems
uksouth     zabbix
uksouth     Microsoft.AzureMonitor.WorkloadInsights.MeyaCorp
uksouth     redhat1627408356675
uksouth     spagobi
uksouth     huawei
uksouth     Microsoft.Azure.Extensions.Test04a0f157-c6fb-4595-b6ca-6c82a2338063-20200108101451
uksouth     devolutionsinc
uksouth     centrixeltd1594135951373
uksouth     senhasegura
uksouth     researchgraphptyltd1598252602128
uksouth     cloudera
uksouth     Microsoft.Compute
uksouth     lancom-systems
uksouth     Microsoft.M365SecurityConfiguration.Kevlar.Test
uksouth     microsoft-crypto
uksouth     Microsoft.Azure.RecoveryServices.SiteRecovery
uksouth     Microsoft.Azure.Extensions.Test24fa9eb5-1c59-4425-b61c-30fd638c2a45-20191003203802
uksouth     seaqserviciossas1579029207572
uksouth     Microsoft.Azure.Extensions.Testae421c1d-0211-4ef2-b372-564ce8ad484a-20200110104035
uksouth     cacheguardtechnologies
uksouth     vidizmo
uksouth     microsoftcorporation1620407702632
uksouth     talon
uksouth     silver-peak-systems
uksouth     vigyanlabs-innovations-pvt-ltd
uksouth     tresorit
uksouth     webaloinc
uksouth     clone-systems
uksouth     commvault
uksouth     bmcctm.test
uksouth     threatintelligenceptyltd1586824172898
uksouth     datometry
uksouth     KevlarExtensions.M365SecurityODL
uksouth     qnapsystemsinc1601352084032
uksouth     linuxbasedsystemsdesignltd1580878904727
uksouth     cryptocom1585727786636
uksouth     Microsoft.Azure.Diagnostics.Build.Test
uksouth     Microsoft.Azure.Extensions.Test5397960f-023b-4979-9a8b-800d049045a4-20191007195417
uksouth     softwarehut
uksouth     scalearc
uksouth     Microsoft.Network
uksouth     elfiqnetworks
uksouth     cloudlink
uksouth     cloudbees
uksouth     2021ai
uksouth     Kaspersky.Lab
uksouth     weidmllerinterfacegmbhcokg1593785027047
uksouth     testpro
uksouth     skyarc
uksouth     Microsoft.Azure.WorkloadInsights.Linux.ReleasePipeTest.TEST
uksouth     midfin
uksouth     Microsoft.Azure.Extensions.Testdc7230e9-df6d-4edd-a57c-ef7e0432c463-20191002011345
uksouth     tripwire-inc
uksouth     irion
uksouth     Profiler.AgentOrchestrationRefactor.Test
uksouth     mvp-systems
uksouth     AzureTools1type
uksouth     eecservicesfzllc1604836615706
uksouth     oraylisbi
uksouth     altamira-corporation
uksouth     stratodesk1611152769936
uksouth     microsoft-azure-batch
uksouth     praelexis
uksouth     bmc.ctm
uksouth     Microsoft.Azure.Extensions.Testdb357558-60b4-4ee3-9ec3-ba22c5d827fb-20191004020617
uksouth     alertlogic
uksouth     portalarchitects
uksouth     oraylis
uksouth     purplecubeinc1680669832842
uksouth     riverbed
uksouth     Microsoft.SqlServer.Management
uksouth     Profiler.Master.Test
uksouth     valohai
uksouth     test_test_mneela1628617140187
uksouth     Microsoft.Azure.Extensions.Teste42f351a-4da0-4f0d-93e9-ef1d98e06659-20200108083633
uksouth     airspannetworks1685633374715
uksouth     holmsecurityswedenab1639511288603
uksouth     ahnlabinc1584495174865
uksouth     ivix1595238749040
uksouth     versanetworks
uksouth     a10networks
uksouth     iqsol
uksouth     Microsoft.Azure.Performance.Diagnostics
uksouth     crayon-group-as-1129016
uksouth     WAD2AI.Diagnostics.Test
uksouth     prime-strategy
uksouth     envision_blockchain-5199407
uksouth     parsec-for-teams
uksouth     credativ
uksouth     fortinet
uksouth     hpe.serviceguard.ha.dr
uksouth     Microsoft.Azure.Security.AntimalwareSignature
uksouth     Microsoft.Azure.Extensions.Test012be407-61ea-4e45-a2c3-71a45999ca21-20191228083800
uksouth     Microsoft.Golive.Extensions
uksouth     hewlett-packard
uksouth     aggregion-ltd
uksouth     haproxy-technologies
uksouth     opentext
uksouth     miracl_linux
uksouth     Microsoft.AzureMonitor.WorkloadInsights
uksouth     mihupcommunicationspvtltd1599046998010
uksouth     dablabsinc1654806039152
uksouth     solar-security
