Location    Name
----------  ------------------------
uksouth     alfredtestoffer
uksouth     osa
uksouth     rh-jboss-eap
uksouth     rh-ocp-worker
uksouth     rh-oke-worker
uksouth     rh-opp-worker
uksouth     rh-rhel
uksouth     rh-rhel-sap-haus
uksouth     RHEL
uksouth     rhel-arm64
uksouth     rhel-byos
uksouth     rhel-byos-test
uksouth     rhel-cpp-test
uksouth     rhel-cvm-test
uksouth     RHEL-HA
uksouth     rhel-mp-cert-test
uksouth     rhel-raw
uksouth     RHEL-SAP
uksouth     RHEL-SAP-APPS
uksouth     RHEL-SAP-HA
uksouth     rhel-sig-publishing-test
uksouth     RHEL-TEST
uksouth     rhel_test_offers
uksouth     rh_rhel_7_latest
uksouth     rh_rhel_7_vm
uksouth     rh_rhel_8_latest
uksouth     rh_rhel_8_main_1
uksouth     rh_rhel_8_vm
uksouth     test-rhel-byos
uksouth     test_offer_china
