Location    Name
----------  -----------------------------
uksouth     cap-deploy-byos
uksouth     console-for-sap-applications
uksouth     manager-proxy-4-1-byos
uksouth     manager-proxy-4-2-byos
uksouth     manager-proxy-4-3-byos
uksouth     manager-proxy-4-byos
uksouth     manager-server-4-1-byos
uksouth     manager-server-4-2-byos
uksouth     manager-server-4-3-byos
uksouth     manager-server-4-byos
uksouth     openSUSE-Leap
uksouth     opensuse-leap-15-3
uksouth     opensuse-leap-15-4
uksouth     opensuse-leap-15-4-arm64
uksouth     opensuse-leap-15-5
uksouth     opensuse-leap-15-5-arm64
uksouth     sle-hpc-15-sp4
uksouth     sle-hpc-15-sp4-byos
uksouth     sle-hpc-15-sp5
uksouth     sle-hpc-15-sp5-byos
uksouth     sle-micro-5-1-byos
uksouth     sle-micro-5-2-byos
uksouth     sle-micro-5-3-byos
uksouth     sle-micro-5-3-byos-arm64
uksouth     sle-micro-5-4-byos
uksouth     sle-micro-5-4-byos-arm64
uksouth     sle-micro-5-4-llc
uksouth     SLES
uksouth     sles-12-sp5
uksouth     sles-12-sp5-basic
uksouth     sles-12-sp5-byos
uksouth     sles-12-sp5-hpc
uksouth     sles-12-sp5-hpc-byos
uksouth     sles-15-sp1
uksouth     sles-15-sp1-byos
uksouth     sles-15-sp1-chost-byos
uksouth     sles-15-sp1-hpc
uksouth     sles-15-sp1-hpc-byos
uksouth     sles-15-sp1-sapcal
uksouth     sles-15-sp2
uksouth     sles-15-sp2-basic
uksouth     sles-15-sp2-byos
uksouth     sles-15-sp2-chost-byos
uksouth     sles-15-sp2-hpc
uksouth     sles-15-sp2-hpc-byos
uksouth     sles-15-sp2-monitoring
uksouth     sles-15-sp3
uksouth     sles-15-sp3-basic
uksouth     sles-15-sp3-byos
uksouth     sles-15-sp3-chost-byos
uksouth     sles-15-sp3-hpc
uksouth     sles-15-sp3-hpc-byos
uksouth     sles-15-sp3-sapcal
uksouth     sles-15-sp4
uksouth     sles-15-sp4-arm64
uksouth     sles-15-sp4-basic
uksouth     sles-15-sp4-byos
uksouth     sles-15-sp4-byos-arm64
uksouth     sles-15-sp4-chost-byos
uksouth     sles-15-sp4-chost-byos-arm64
uksouth     sles-15-sp4-hardened-byos
uksouth     sles-15-sp4-sapcal
uksouth     sles-15-sp5
uksouth     sles-15-sp5-arm64
uksouth     sles-15-sp5-basic
uksouth     sles-15-sp5-byos
uksouth     sles-15-sp5-byos-arm64
uksouth     sles-15-sp5-chost-byos
uksouth     sles-15-sp5-chost-byos-arm64
uksouth     sles-15-sp5-hardened-byos
uksouth     sles-15-sp5-sapcal
uksouth     sles-15-sp5-tdxpreview
uksouth     SLES-BYOS
uksouth     SLES-SAP
uksouth     sles-sap-12-sp5
uksouth     sles-sap-12-sp5-byos
uksouth     sles-sap-15-sp1
uksouth     sles-sap-15-sp1-byos
uksouth     sles-sap-15-sp2
uksouth     sles-sap-15-sp2-byos
uksouth     sles-sap-15-sp3
uksouth     sles-sap-15-sp3-byos
uksouth     sles-sap-15-sp4
uksouth     sles-sap-15-sp4-byos
uksouth     sles-sap-15-sp4-hardened
uksouth     sles-sap-15-sp4-hardened-byos
uksouth     sles-sap-15-sp5
uksouth     sles-sap-15-sp5-byos
uksouth     sles-sap-15-sp5-hardened
uksouth     sles-sap-15-sp5-hardened-byos
uksouth     sles-sap-15-sp5-tdxpreview
uksouth     SLES-SAP-BYOS
uksouth     SLES-SAPCAL
uksouth     SLES-Standard
